ID,Movie_Name,Movie_Score,Review_Count,Movie_Star_Distribution,Collect_Date,Username,Post_Date,Score,User_Comment,User_Comment_Distribution,Comment_Like_Count,Movie_Tags
9150,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,pony君,2009-09-20,5,你是我的天使，我的另一半，我的一切，永远爱着你。现在，我要睡了，那么，再见。请继续爱着我。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9151,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,荫萌,2014-12-08,4,The comedy is over,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9152,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,易水寒,2006-09-24,4,"Crazy musician. If not, you can't be musican ...",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9153,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,olivia,2009-08-11,5,贝多芬de“永恒的爱人”。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9154,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,黄小牛,2011-07-11,5,Silence before the Key.,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9155,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,大梁,2012-02-04,5,才开始看就想看第二遍的好电影。因爱而生恨，因恨而互相伤害，伟人也逃不过“错过”的命运捉弄。身兼编导的伯纳德对贝多芬谜一般的情书大胆猜测，串起其生前有关亲情和爱情的种种疑点，成就了这部片如其名、可以不朽作品。加里奥德曼的演出相当成功，其深厚的音乐功底和对天才极端性格的把握让人叹服。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9156,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,克 徐世光绘三,2011-07-08,5,贝多芬,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9157,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,亲亲,2011-04-02,5,电影在情节上处理的十分到位，贝多芬的爱情，三个女人，最“意外”的我的她,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9158,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,Greenfield,2014-02-22,4,小时候觉得很好看,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9159,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,电影狂人,2014-04-24,4,音乐没得说。至于贝多芬的神秘爱人嘛。。。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
